id,class_name,confidence_percent,latitude,longitude,length_m,width_m,estimated_height_m,area_m2,channel,ground_range_m,slant_range_m,depth_m,status,contrast_ratio,shadow_length_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,created_at
5ef9803b,ghost_net,80.0,18.9220028,72.8349067,1.85,5.96,0.49,11.03,starboard,22.65,24.76,20.0,high_confidence,1.93,12.0,735.0,143.0,796.0,155.0,2026-08-26 19:11:42
c976aa70,ghost_net,79.7,18.9220033,72.8349152,2.01,6.05,0.67,12.15,starboard,23.23,25.29,20.0,high_confidence,1.93,17.0,740.0,148.0,802.0,161.0,2026-08-26 19:11:42
5e0342e3,pipe_cylinder,79.5,18.9222035,72.8351534,4.63,6.25,0.48,28.94,starboard,25.25,27.15,20.0,high_confidence,1.66,13.0,758.0,354.0,822.0,384.0,2026-08-26 19:11:42
bfcd4328,ghost_net,79.4,18.9220067,72.8349365,2.16,6.25,1.06,13.5,starboard,24.54,26.46,20.0,high_confidence,2.15,30.0,751.0,158.0,815.0,172.0,2026-08-26 19:11:42
c387000f,generic_debris,78.8,18.9221255,72.8348339,1.7,4.59,2.66,7.79,starboard,7.55,12.55,20.0,high_confidence,2.09,28.0,617.0,171.0,664.0,182.0,2026-08-26 19:11:42
d2980f9c,pipe_cylinder,78.7,18.9221466,72.8348079,1.39,4.79,2.41,6.65,starboard,3.97,10.69,20.0,high_confidence,1.92,13.0,597.0,170.0,646.0,179.0,2026-08-26 19:11:42
fc1aa3d0,ghost_net,78.7,18.9220147,72.8349184,1.85,6.05,0.5,11.21,starboard,22.55,24.71,20.0,high_confidence,1.77,12.0,734.0,155.0,796.0,167.0,2026-08-26 19:11:42
e850930b,container,78.6,18.9221355,72.8348505,1.7,4.59,2.85,7.79,starboard,7.99,12.74,20.0,high_confidence,1.88,33.0,619.0,184.0,666.0,195.0,2026-08-26 19:11:42
0ee1cd0d,ghost_net,77.9,18.9220081,72.8348909,3.09,7.03,0.14,21.7,starboard,21.05,23.34,20.0,high_confidence,1.9,3.0,715.0,133.0,787.0,153.0,2026-08-26 19:11:42
c7929e2e,pipe_cylinder,77.4,18.922148,72.8348374,1.7,5.86,3.1,9.95,starboard,6.04,11.62,20.0,high_confidence,1.82,28.0,601.0,184.0,661.0,195.0,2026-08-26 19:11:42
bec29876,ghost_net,77.4,18.9227849,72.8351463,2.16,5.57,0.64,12.03,port,21.39,23.58,20.0,high_confidence,1.58,15.0,242.0,655.0,299.0,669.0,2026-08-26 19:11:42
0637d86d,pipe_cylinder,77.3,18.9219867,72.8348873,2.93,9.96,1.16,29.21,starboard,22.45,24.61,20.0,high_confidence,1.75,30.0,713.0,122.0,815.0,141.0,2026-08-26 19:11:42
6f8977f5,pipe_cylinder,77.2,18.9221384,72.8348243,1.54,4.69,2.59,7.23,starboard,5.83,11.52,20.0,high_confidence,1.93,21.0,606.0,173.0,654.0,183.0,2026-08-26 19:11:42
d62926ae,ghost_net,76.6,18.9219972,72.8349204,7.25,10.45,1.64,75.8,starboard,24.1,26.12,20.0,high_confidence,1.77,48.0,726.0,130.0,833.0,177.0,2026-08-26 19:11:42
094ed11d,generic_debris,76.6,18.9228106,72.8351277,1.7,5.27,1.48,8.95,port,24.8,26.76,20.0,high_confidence,1.99,44.0,211.0,662.0,265.0,673.0,2026-08-26 19:11:42
985d34c3,pipe_cylinder,76.4,18.9221865,72.834797,1.7,6.25,9.93,10.61,starboard,0.0,8.79,20.0,high_confidence,1.6,2.0,570.0,184.0,634.0,195.0,2026-08-26 19:11:42
069cacc2,pipe_cylinder,76.2,18.9220263,72.834931,3.4,11.33,1.41,38.46,starboard,22.58,24.71,20.0,high_confidence,1.7,38.0,707.0,161.0,823.0,183.0,2026-08-26 19:11:42
79a8fca4,ghost_net,75.9,18.9219747,72.8349449,1.85,6.15,1.45,11.39,starboard,27.69,29.44,20.0,high_confidence,2.59,48.0,782.0,148.0,845.0,160.0,2026-08-26 19:11:42
32fdd631,pipe_cylinder,75.7,18.922164,72.834773,1.85,5.18,9.91,9.59,starboard,0.0,9.52,20.0,high_confidence,1.77,4.0,583.0,160.0,636.0,172.0,2026-08-26 19:11:42
81ec329a,generic_debris,75.4,18.9220387,72.8349194,1.54,4.88,0.05,7.54,starboard,20.75,23.05,20.0,high_confidence,1.75,1.0,723.0,168.0,773.0,178.0,2026-08-26 19:11:42
52292216,pipe_cylinder,75.4,18.9221325,72.8348166,2.47,6.74,3.45,16.64,starboard,5.72,11.47,20.0,high_confidence,1.92,31.0,595.0,163.0,664.0,179.0,2026-08-26 19:11:42
94c81d91,ghost_net,75.0,18.922123,72.8348075,2.78,5.08,2.9,14.11,starboard,5.8,11.62,20.0,high_confidence,1.9,24.0,605.0,153.0,657.0,171.0,2026-08-26 19:11:42
dc0f91aa,ghost_net,74.8,18.9228072,72.8351736,10.19,11.43,1.73,116.38,port,21.12,23.39,20.0,high_confidence,1.71,45.0,214.0,653.0,331.0,719.0,2026-08-26 19:11:42
fc5e7ff6,ghost_net,74.4,18.9231108,72.8352558,1.7,1.37,0.34,2.32,port,38.85,40.14,20.0,high_confidence,2.22,14.0,94.0,875.0,108.0,886.0,2026-08-26 19:11:42
8720f598,generic_debris,74.1,18.9230408,72.8351285,1.54,1.17,0.25,1.81,port,42.77,43.95,20.0,high_confidence,1.77,11.0,56.0,782.0,68.0,792.0,2026-08-26 19:11:42
36700153,generic_debris,73.4,18.9228185,72.8354687,1.7,2.64,9.98,4.48,starboard,0.0,7.96,20.0,high_confidence,1.87,3.0,580.0,830.0,607.0,841.0,2026-08-26 19:11:42
537fc7a2,pipe_cylinder,73.2,18.9221631,72.8347719,4.01,9.47,9.91,38.01,starboard,0.0,7.76,20.0,high_confidence,1.75,12.0,543.0,152.0,640.0,178.0,2026-08-26 19:11:42
efc88812,generic_debris,72.5,18.9231227,72.835247,1.54,1.27,0.28,1.96,port,40.45,41.65,20.0,high_confidence,1.8,12.0,79.0,878.0,92.0,888.0,2026-08-26 19:11:42
17b0fcfc,generic_debris,72.4,18.9228566,72.8351668,1.7,5.37,1.4,9.12,port,25.53,27.39,20.0,high_confidence,2.07,43.0,204.0,703.0,259.0,714.0,2026-08-26 19:11:42
40fb501c,container,72.3,18.9230493,72.8351258,1.54,1.07,0.24,1.66,port,43.64,44.78,20.0,high_confidence,1.83,11.0,48.0,784.0,59.0,794.0,2026-08-26 19:11:42
182322fd,generic_debris,72.1,18.9228234,72.8354739,1.7,2.44,10.02,4.14,starboard,0.0,7.67,20.0,high_confidence,1.6,1.0,578.0,835.0,603.0,846.0,2026-08-26 19:11:42
526aa8d8,pipe_cylinder,70.5,18.9220884,72.8351858,1.54,1.37,0.36,2.11,starboard,36.67,37.99,20.0,high_confidence,1.71,14.0,894.0,320.0,908.0,330.0,2026-08-26 19:11:42
977ded00,generic_debris,70.1,18.9221679,72.8352275,1.7,1.07,0.28,1.82,starboard,33.56,35.01,20.0,high_confidence,1.7,10.0,865.0,383.0,876.0,394.0,2026-08-26 19:11:42
4a83173f,pipe_cylinder,69.8,18.9228419,72.8354937,1.54,3.52,9.94,5.43,starboard,0.0,3.22,20.0,high_confidence,1.53,1.0,527.0,854.0,563.0,864.0,2026-08-26 19:11:42
7f6c0844,generic_debris,68.4,18.9220918,72.8348097,1.7,4.49,2.77,7.63,starboard,8.43,13.09,20.0,high_confidence,1.75,33.0,623.0,142.0,669.0,153.0,2026-08-26 19:11:42
4b577ab2,pipe_cylinder,68.2,18.9221572,72.8347657,1.7,3.52,9.99,5.97,starboard,0.0,1.76,20.0,high_confidence,1.58,5.0,512.0,154.0,548.0,165.0,2026-08-26 19:11:42
c20450f0,pipe_cylinder,66.4,18.923135,72.8352095,1.54,9.38,1.48,14.47,port,44.2,45.31,20.0,high_confidence,4.59,79.0,0.0,865.0,96.0,875.0,2026-08-26 19:11:42
6616fecf,pipe_cylinder,65.8,18.9228185,72.8354687,1.7,3.71,9.98,6.3,starboard,0.0,6.74,20.0,high_confidence,1.64,1.0,562.0,830.0,600.0,841.0,2026-08-26 19:11:42
a00d2025,generic_debris,65.6,18.923116,72.8352513,1.7,1.07,0.27,1.82,port,39.61,40.87,20.0,high_confidence,1.96,11.0,88.0,876.0,99.0,887.0,2026-08-26 19:11:42
2454cc0a,pipe_cylinder,64.7,18.9228195,72.8354697,1.54,3.22,10.1,4.97,starboard,0.0,5.52,20.0,high_confidence,1.55,2.0,552.0,831.0,585.0,841.0,2026-08-26 19:11:42
369f46a1,generic_debris,64.5,18.923046,72.8351215,1.7,1.17,0.24,1.99,port,43.7,44.82,20.0,high_confidence,1.74,11.0,47.0,781.0,59.0,792.0,2026-08-26 19:11:42
d8326729,generic_debris,64.5,18.9231221,72.8352056,1.7,9.86,1.72,16.74,port,43.46,44.58,20.0,high_confidence,5.82,93.0,5.0,855.0,106.0,866.0,2026-08-26 19:11:42
c2ef4bcf,generic_debris,63.6,18.9231406,72.835212,2.01,8.89,1.45,17.83,port,44.46,45.56,20.0,high_confidence,3.56,78.0,0.0,868.0,91.0,881.0,2026-08-26 19:11:42
998357f7,generic_debris,63.5,18.9230347,72.8351387,1.54,1.07,0.25,1.66,port,41.53,42.72,20.0,high_confidence,1.75,11.0,69.0,783.0,80.0,793.0,2026-08-26 19:11:42
8c02d9c1,generic_debris,63.2,18.9220818,72.8351879,1.54,1.17,0.31,1.81,starboard,37.34,38.67,20.0,high_confidence,1.56,12.0,902.0,318.0,914.0,328.0,2026-08-26 19:11:42
15cacab4,pipe_cylinder,62.5,18.9228273,72.835478,1.85,3.12,10.04,5.79,starboard,0.0,7.03,20.0,high_confidence,1.57,2.0,568.0,838.0,600.0,850.0,2026-08-26 19:11:42
73bbc8d5,ghost_net,62.4,18.9230368,72.8351313,2.16,1.07,0.23,2.32,port,42.25,43.41,20.0,high_confidence,1.68,10.0,62.0,779.0,73.0,793.0,2026-08-26 19:11:42
8a9fd424,pipe_cylinder,61.5,18.922792,72.8351161,1.54,1.37,0.53,2.11,port,24.19,26.17,20.0,high_confidence,1.59,14.0,237.0,645.0,251.0,655.0,2026-08-26 19:11:42
b206d23f,generic_debris,61.1,18.9231624,72.8352018,1.7,1.27,0.25,2.16,port,46.93,48.0,20.0,high_confidence,1.56,12.0,14.0,875.0,27.0,886.0,2026-08-26 19:11:42
