id,class_name,confidence_percent,latitude,longitude,length_m,width_m,estimated_height_m,area_m2,channel,ground_range_m,slant_range_m,depth_m,status,contrast_ratio,shadow_length_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,created_at
980260ef,ghost_net,76.2,18.9225088,72.8345679,2.16,6.54,0.66,14.14,port,42.55,43.7,20.0,high_confidence,2.13,31.0,31.0,229.0,98.0,243.0,2026-08-26 19:11:48
f3415b55,generic_debris,75.4,18.9225418,72.8346346,1.54,5.86,0.28,9.04,port,40.39,41.6,20.0,high_confidence,2.07,12.0,56.0,280.0,116.0,290.0,2026-08-26 19:11:48
816d1e7b,pipe_cylinder,75.1,18.9227513,72.835421,1.39,4.88,9.98,6.78,port,0.0,0.39,20.0,high_confidence,2.28,35.0,483.0,774.0,533.0,783.0,2026-08-26 19:11:48
c6aa5940,generic_debris,74.8,18.9225368,72.8346315,1.54,5.57,0.31,8.59,port,40.21,41.46,20.0,high_confidence,2.05,13.0,59.0,276.0,116.0,286.0,2026-08-26 19:11:48
5e1749f2,generic_debris,72.1,18.9225139,72.8346444,1.85,3.61,0.05,6.69,port,37.42,38.72,20.0,high_confidence,2.01,2.0,97.0,270.0,134.0,282.0,2026-08-26 19:11:48
2ca20721,pipe_cylinder,72.0,18.9225747,72.834612,1.54,1.86,0.39,2.86,port,44.67,45.75,20.0,high_confidence,2.67,19.0,34.0,286.0,53.0,296.0,2026-08-26 19:11:48
42938840,generic_debris,71.4,18.9225073,72.8346386,1.85,3.61,0.05,6.69,port,37.3,38.62,20.0,high_confidence,2.17,1.0,98.0,263.0,135.0,275.0,2026-08-26 19:11:48
44a441e6,generic_debris,70.7,18.9224974,72.8346387,1.54,3.22,0.05,4.97,port,36.5,37.84,20.0,high_confidence,2.22,1.0,108.0,259.0,141.0,269.0,2026-08-26 19:11:48
a094aa3c,pipe_cylinder,70.5,18.9228529,72.8355414,1.39,3.42,9.94,4.75,port,0.0,1.03,20.0,high_confidence,1.83,2.0,484.0,884.0,519.0,893.0,2026-08-26 19:11:48
274f9610,generic_debris,69.8,18.9226242,72.8356644,1.7,1.66,0.05,2.82,starboard,27.63,29.35,20.0,high_confidence,2.29,1.0,804.0,835.0,821.0,846.0,2026-08-26 19:11:48
ae8d8ea1,generic_debris,69.7,18.9224344,72.8356738,1.7,1.37,0.09,2.32,starboard,44.0,45.12,20.0,high_confidence,2.21,4.0,967.0,749.0,981.0,760.0,2026-08-26 19:11:48
c1d1c356,generic_debris,69.6,18.9221015,72.8351895,1.7,1.46,0.05,2.49,starboard,35.39,36.77,20.0,high_confidence,2.08,1.0,881.0,335.0,896.0,346.0,2026-08-26 19:11:48
ce6eabdf,pipe_cylinder,69.6,18.9226252,72.8352747,1.39,2.83,10.09,3.93,port,0.0,4.83,20.0,high_confidence,1.58,9.0,448.0,639.0,477.0,648.0,2026-08-26 19:11:48
5d7b631d,generic_debris,69.5,18.922515,72.8348997,1.54,4.59,0.3,7.08,port,18.88,21.34,20.0,high_confidence,2.56,6.0,270.0,401.0,317.0,411.0,2026-08-26 19:11:48
fd3c3510,pipe_cylinder,69.4,18.922287,72.8349084,1.39,3.71,9.97,5.15,port,0.0,0.78,20.0,high_confidence,1.65,27.0,485.0,290.0,523.0,299.0,2026-08-26 19:11:48
7fe23b29,container,69.3,18.9226416,72.8359177,1.54,1.95,0.05,3.01,starboard,43.81,44.92,20.0,high_confidence,2.06,1.0,962.0,974.0,982.0,984.0,2026-08-26 19:11:48
59843877,generic_debris,69.3,18.9226296,72.8359674,1.7,1.37,0.05,2.32,starboard,48.28,49.32,20.0,high_confidence,1.89,1.0,1010.0,997.0,1024.0,1008.0,2026-08-26 19:11:48
d1dde515,generic_debris,69.1,18.9219507,72.8350287,1.54,1.46,0.05,2.26,starboard,35.78,37.16,20.0,high_confidence,2.0,1.0,885.0,179.0,900.0,189.0,2026-08-26 19:11:48
c2add8cb,generic_debris,69.1,18.92252,72.8355623,1.85,1.95,0.05,3.62,starboard,29.07,30.76,20.0,high_confidence,2.21,1.0,817.0,731.0,837.0,743.0,2026-08-26 19:11:48
df8d29b8,generic_debris,68.9,18.9227664,72.8358554,1.54,1.86,0.05,2.86,starboard,29.06,30.71,20.0,high_confidence,1.96,1.0,817.0,1004.0,836.0,1014.0,2026-08-26 19:11:48
5fc09025,generic_debris,68.7,18.9218866,72.8350108,1.54,1.56,0.05,2.41,starboard,39.6,40.82,20.0,high_confidence,2.3,1.0,922.0,136.0,938.0,146.0,2026-08-26 19:11:48
662baaa1,generic_debris,68.7,18.9222519,72.8355303,1.7,0.88,0.05,1.49,starboard,48.53,49.56,20.0,high_confidence,1.81,1.0,1015.0,577.0,1024.0,588.0,2026-08-26 19:11:48
e026fc1b,generic_debris,68.6,18.9224678,72.8354179,1.54,2.25,0.05,3.47,starboard,23.06,25.15,20.0,high_confidence,2.13,1.0,758.0,630.0,781.0,640.0,2026-08-26 19:11:48
ebd83bd3,generic_debris,68.5,18.9226097,72.835536,1.54,3.12,0.15,4.82,starboard,19.8,22.17,20.0,high_confidence,1.67,3.0,723.0,764.0,755.0,774.0,2026-08-26 19:11:48
aea69888,generic_debris,68.3,18.9226687,72.8358091,1.54,1.76,0.05,2.71,starboard,33.99,35.45,20.0,high_confidence,2.03,1.0,866.0,932.0,884.0,942.0,2026-08-26 19:11:48
6301b93f,generic_debris,68.2,18.9223206,72.8343469,1.54,1.76,0.05,2.71,port,43.97,45.12,20.0,high_confidence,1.96,1.0,41.0,39.0,59.0,49.0,2026-08-26 19:11:48
837c26d7,pipe_cylinder,68.2,18.9223669,72.8349961,1.39,3.03,9.96,4.2,starboard,0.0,1.51,20.0,high_confidence,1.56,2.0,512.0,373.0,543.0,382.0,2026-08-26 19:11:48
7b1eb985,generic_debris,68.2,18.9222835,72.8352454,1.54,1.66,0.05,2.56,starboard,24.99,26.9,20.0,high_confidence,1.85,1.0,779.0,451.0,796.0,461.0,2026-08-26 19:11:48
17f5279f,generic_debris,68.2,18.9223586,72.8354027,1.7,1.66,0.06,2.82,starboard,30.67,32.28,20.0,high_confidence,2.08,2.0,834.0,567.0,851.0,578.0,2026-08-26 19:11:48
50a18dee,generic_debris,68.2,18.9225503,72.8354469,1.54,1.86,0.1,2.86,starboard,18.43,20.95,20.0,high_confidence,1.98,2.0,717.0,688.0,736.0,698.0,2026-08-26 19:11:48
9786e4fd,generic_debris,68.1,18.9226771,72.8359275,1.54,1.66,0.05,2.56,starboard,41.55,42.72,20.0,high_confidence,1.87,1.0,941.0,999.0,958.0,1009.0,2026-08-26 19:11:48
6fa252f0,pipe_cylinder,68.0,18.9218682,72.8349327,2.01,1.76,0.05,3.53,starboard,35.25,36.62,20.0,high_confidence,1.86,1.0,878.0,87.0,896.0,100.0,2026-08-26 19:11:48
b02e944d,ghost_net,67.9,18.9226451,72.8346407,2.16,1.56,0.05,3.38,port,48.2,49.22,20.0,high_confidence,1.81,2.0,0.0,334.0,16.0,348.0,2026-08-26 19:11:48
0ac8ac9e,container,67.7,18.9220804,72.8350609,1.54,2.05,0.07,3.17,starboard,27.7,29.44,20.0,high_confidence,1.86,2.0,803.0,262.0,824.0,272.0,2026-08-26 19:11:48
aabbc54c,generic_debris,67.7,18.9222588,72.8352425,1.54,1.37,0.05,2.11,starboard,26.74,28.52,20.0,high_confidence,1.75,1.0,797.0,437.0,811.0,447.0,2026-08-26 19:11:48
46d5fa71,generic_debris,67.7,18.9222199,72.8354054,1.54,1.46,0.05,2.26,starboard,41.86,43.02,20.0,high_confidence,1.82,1.0,945.0,492.0,960.0,502.0,2026-08-26 19:11:48
949f8b14,generic_debris,67.7,18.9223797,72.8353888,1.7,1.76,0.07,2.98,starboard,27.97,29.69,20.0,high_confidence,1.75,2.0,807.0,571.0,825.0,582.0,2026-08-26 19:11:48
5118b1d0,generic_debris,67.7,18.9225272,72.8357454,1.54,1.66,0.05,2.56,starboard,41.33,42.53,20.0,high_confidence,1.82,1.0,939.0,830.0,956.0,840.0,2026-08-26 19:11:48
b3be1144,pipe_cylinder,67.7,18.922575,72.8358964,1.54,2.15,0.05,3.32,starboard,47.88,48.93,20.0,high_confidence,1.65,2.0,1002.0,932.0,1024.0,942.0,2026-08-26 19:11:48
1db3be78,generic_debris,67.7,18.9229522,72.8356601,1.54,3.91,9.94,6.03,port,0.0,4.1,20.0,high_confidence,2.59,22.0,450.0,991.0,490.0,1001.0,2026-08-26 19:11:48
09aa4c29,generic_debris,67.7,18.9226507,72.8359251,1.54,1.56,0.05,2.41,starboard,43.58,44.73,20.0,high_confidence,1.79,1.0,962.0,982.0,978.0,992.0,2026-08-26 19:11:48
a2ba69c3,pipe_cylinder,67.6,18.9225996,72.8356671,1.39,2.25,0.05,3.12,starboard,29.85,31.49,20.0,high_confidence,1.71,1.0,823.0,826.0,846.0,835.0,2026-08-26 19:11:48
edefd9d7,generic_debris,67.6,18.9222216,72.8354797,1.54,2.05,0.05,3.17,starboard,47.25,48.29,20.0,high_confidence,1.8,1.0,996.0,535.0,1017.0,545.0,2026-08-26 19:11:48
ba6a36ce,container,67.5,18.9225026,72.8347613,1.54,1.66,0.05,2.56,port,27.98,29.74,20.0,high_confidence,1.82,1.0,199.0,325.0,216.0,335.0,2026-08-26 19:11:48
33298fb3,generic_debris,67.5,18.9222341,72.8354805,1.7,1.37,0.05,2.32,starboard,46.31,47.36,20.0,high_confidence,1.9,1.0,990.0,541.0,1004.0,552.0,2026-08-26 19:11:48
eb0f85b8,generic_debris,67.4,18.9221938,72.8344885,1.7,1.86,0.08,3.15,port,23.46,25.54,20.0,high_confidence,1.88,2.0,241.0,41.0,260.0,52.0,2026-08-26 19:11:48
04a1f7df,generic_debris,67.4,18.9223414,72.8344024,1.7,1.95,0.09,3.32,port,41.39,42.58,20.0,high_confidence,2.02,4.0,66.0,74.0,86.0,85.0,2026-08-26 19:11:48
78d7dd9f,generic_debris,67.4,18.9226126,72.8349118,1.7,1.56,0.11,2.65,port,25.69,27.54,20.0,high_confidence,1.8,3.0,222.0,455.0,238.0,466.0,2026-08-26 19:11:48
e8ae0c9b,generic_debris,67.4,18.9219253,72.8350772,1.54,1.37,0.05,2.11,starboard,41.37,42.58,20.0,high_confidence,1.79,1.0,941.0,191.0,955.0,201.0,2026-08-26 19:11:48
7a8330a8,generic_debris,67.4,18.9217476,72.8348999,1.54,1.66,0.05,2.56,starboard,42.16,43.31,20.0,high_confidence,1.73,1.0,947.0,7.0,964.0,17.0,2026-08-26 19:11:48
167b5dd2,pipe_cylinder,67.4,18.9225974,72.835244,1.39,4.0,9.91,5.56,port,0.0,0.83,20.0,high_confidence,1.64,10.0,483.0,610.0,524.0,619.0,2026-08-26 19:11:48
aff63d4b,container,67.4,18.9225387,72.8356313,1.54,1.56,0.05,2.41,starboard,32.36,33.89,20.0,high_confidence,1.63,1.0,851.0,778.0,867.0,788.0,2026-08-26 19:11:48
53c3c4f7,generic_debris,67.4,18.9227514,72.8357886,1.54,1.95,0.11,3.01,starboard,25.68,27.54,20.0,high_confidence,2.05,3.0,784.0,961.0,804.0,971.0,2026-08-26 19:11:48
9b402523,generic_debris,67.3,18.9221324,72.834472,1.54,1.95,0.14,3.01,port,19.93,22.27,20.0,high_confidence,1.82,3.0,274.0,0.0,294.0,10.0,2026-08-26 19:11:48
f1f93604,generic_debris,67.3,18.9231542,72.8353605,1.7,1.27,0.05,2.16,port,37.72,39.01,20.0,high_confidence,1.56,1.0,106.0,935.0,119.0,946.0,2026-08-26 19:11:48
b00966be,generic_debris,67.3,18.9223,72.8353797,1.7,1.46,0.11,2.49,starboard,33.65,35.11,20.0,high_confidence,1.91,4.0,864.0,525.0,879.0,536.0,2026-08-26 19:11:48
7da7c423,generic_debris,67.2,18.9221158,72.8351385,1.7,1.66,0.06,2.82,starboard,30.51,32.08,20.0,high_confidence,1.77,2.0,832.0,314.0,849.0,325.0,2026-08-26 19:11:48
49d0b06f,generic_debris,67.2,18.9222375,72.8352987,1.54,1.37,0.05,2.11,starboard,32.58,34.08,20.0,high_confidence,1.8,1.0,854.0,454.0,868.0,464.0,2026-08-26 19:11:48
789e98e4,generic_debris,67.2,18.9224089,72.8356405,1.7,1.66,0.05,2.82,starboard,43.76,44.87,20.0,high_confidence,1.82,2.0,963.0,719.0,980.0,730.0,2026-08-26 19:11:48
1098607d,generic_debris,67.1,18.9220535,72.8352208,1.7,1.66,0.05,2.82,starboard,41.52,42.72,20.0,high_confidence,1.97,1.0,941.0,325.0,958.0,336.0,2026-08-26 19:11:48
7d90952f,pipe_cylinder,67.1,18.9225374,72.8351787,1.39,3.22,10.01,4.48,port,0.0,1.22,20.0,high_confidence,1.54,3.0,483.0,548.0,516.0,557.0,2026-08-26 19:11:48
53a29fed,generic_debris,67.1,18.9227611,72.8356547,1.54,1.95,0.3,3.01,starboard,15.55,18.46,20.0,high_confidence,2.02,5.0,691.0,897.0,711.0,907.0,2026-08-26 19:11:48
b176e44f,generic_debris,67.0,18.9223792,72.8346004,1.7,1.66,0.05,2.82,port,29.77,31.4,20.0,high_confidence,1.99,1.0,182.0,184.0,199.0,195.0,2026-08-26 19:11:48
4b76ac13,generic_debris,67.0,18.9224601,72.8346337,1.54,1.86,0.05,2.86,port,33.86,35.3,20.0,high_confidence,1.73,1.0,141.0,239.0,160.0,249.0,2026-08-26 19:11:48
eccdc61f,generic_debris,67.0,18.9223454,72.8353867,1.7,1.46,0.05,2.49,starboard,30.56,32.18,20.0,high_confidence,1.78,1.0,834.0,553.0,849.0,564.0,2026-08-26 19:11:48
360cd6e9,generic_debris,67.0,18.9223948,72.8355409,1.54,1.76,0.05,2.71,starboard,37.85,39.16,20.0,high_confidence,1.67,2.0,904.0,658.0,922.0,668.0,2026-08-26 19:11:48
2728d01e,generic_debris,67.0,18.9225261,72.8357097,1.54,2.25,0.1,3.47,starboard,38.92,40.19,20.0,high_confidence,1.76,4.0,912.0,811.0,935.0,821.0,2026-08-26 19:11:48
7eb4c7b2,generic_debris,67.0,18.9225589,72.8358165,1.7,1.66,0.05,2.82,starboard,43.66,44.78,20.0,high_confidence,1.74,1.0,962.0,883.0,979.0,894.0,2026-08-26 19:11:48
3c46f966,generic_debris,67.0,18.922422,72.8356978,1.7,1.56,0.05,2.65,starboard,46.71,47.75,20.0,high_confidence,1.74,1.0,993.0,755.0,1009.0,766.0,2026-08-26 19:11:48
b81cb0ed,container,66.9,18.9226592,72.8349387,1.54,1.66,0.07,2.56,port,27.38,29.15,20.0,high_confidence,1.77,2.0,205.0,495.0,222.0,505.0,2026-08-26 19:11:48
c48dadc3,generic_debris,66.9,18.9221758,72.8352114,1.54,1.46,0.09,2.26,starboard,31.01,32.57,20.0,high_confidence,1.74,3.0,838.0,382.0,853.0,392.0,2026-08-26 19:11:48
96ccbe95,generic_debris,66.9,18.9223596,72.8352804,1.54,1.95,0.05,3.01,starboard,21.6,23.83,20.0,high_confidence,1.8,1.0,746.0,505.0,766.0,515.0,2026-08-26 19:11:48
e60c300b,generic_debris,66.9,18.9222922,72.8354925,1.7,1.46,0.05,2.49,starboard,42.55,43.7,20.0,high_confidence,1.81,1.0,952.0,578.0,967.0,589.0,2026-08-26 19:11:48
28fc8248,container,66.9,18.9226618,72.8357982,1.54,1.56,0.05,2.41,starboard,33.8,35.25,20.0,high_confidence,1.63,1.0,865.0,924.0,881.0,934.0,2026-08-26 19:11:48
24fad39c,container,66.9,18.9226129,72.8359151,1.54,2.64,0.08,4.07,starboard,46.03,47.12,20.0,high_confidence,1.54,4.0,981.0,960.0,1008.0,970.0,2026-08-26 19:11:48
46d9a905,pipe_cylinder,66.8,18.9224252,72.8350589,1.39,2.34,9.92,3.26,starboard,0.0,1.56,20.0,high_confidence,1.67,8.0,516.0,433.0,540.0,442.0,2026-08-26 19:11:48
7bf79915,container,66.8,18.9224368,72.83543,1.54,1.86,0.05,2.86,starboard,26.43,28.27,20.0,high_confidence,1.64,1.0,792.0,621.0,811.0,631.0,2026-08-26 19:11:48
bc8fdff5,pipe_cylinder,66.8,18.9228438,72.8355304,1.39,3.03,10.04,4.2,starboard,0.0,2.0,20.0,high_confidence,1.51,2.0,517.0,874.0,548.0,883.0,2026-08-26 19:11:48
647117ce,pipe_cylinder,66.8,18.9227421,72.8354101,1.54,3.32,10.1,5.12,starboard,0.0,5.57,20.0,high_confidence,1.66,9.0,552.0,763.0,586.0,773.0,2026-08-26 19:11:48
ea0e800d,generic_debris,66.8,18.9226469,72.8358545,1.7,1.56,0.05,2.65,starboard,38.96,40.23,20.0,high_confidence,1.64,1.0,916.0,944.0,932.0,955.0,2026-08-26 19:11:48
93b302bd,generic_debris,66.7,18.9227501,72.8348463,1.54,1.56,0.05,2.41,port,41.4,42.58,20.0,high_confidence,1.84,1.0,68.0,497.0,84.0,507.0,2026-08-26 19:11:48
bdc3a576,generic_debris,66.7,18.9219322,72.8350078,1.54,1.76,0.05,2.71,starboard,35.74,37.11,20.0,high_confidence,1.81,1.0,883.0,160.0,901.0,170.0,2026-08-26 19:11:48
3dc1f11c,generic_debris,66.7,18.9221137,72.8351772,1.7,1.76,0.11,2.98,starboard,33.51,34.96,20.0,high_confidence,1.92,4.0,861.0,335.0,879.0,346.0,2026-08-26 19:11:48
ad5d471e,container,66.7,18.9222045,72.8352872,1.54,1.56,0.05,2.41,starboard,34.33,35.74,20.0,high_confidence,1.61,1.0,870.0,431.0,886.0,441.0,2026-08-26 19:11:48
3aefd625,generic_debris,66.7,18.9225587,72.8357774,1.7,1.76,0.05,2.98,starboard,40.96,42.19,20.0,high_confidence,1.72,1.0,935.0,861.0,953.0,872.0,2026-08-26 19:11:48
c51d9807,container,66.7,18.9225786,72.8355272,1.54,2.15,0.09,3.32,starboard,21.77,23.93,20.0,high_confidence,1.58,2.0,746.0,744.0,768.0,754.0,2026-08-26 19:11:48
17de850b,container,66.7,18.9225492,72.8356169,1.54,1.86,0.19,2.86,starboard,30.48,32.08,20.0,high_confidence,1.73,6.0,831.0,776.0,850.0,786.0,2026-08-26 19:11:48
c1b7c364,generic_debris,66.7,18.9223111,72.8353768,1.54,1.56,0.05,2.41,starboard,32.57,34.08,20.0,high_confidence,1.74,1.0,853.0,529.0,869.0,539.0,2026-08-26 19:11:48
001c4f4e,generic_debris,66.6,18.922197,72.8344951,1.54,1.76,0.13,2.71,port,23.21,25.29,20.0,high_confidence,1.88,3.0,244.0,46.0,262.0,56.0,2026-08-26 19:11:48
5514af8b,generic_debris,66.6,18.922761,72.8347922,1.7,1.17,0.05,1.99,port,46.3,47.36,20.0,high_confidence,1.82,1.0,21.0,471.0,33.0,482.0,2026-08-26 19:11:48
0cbf2d8d,generic_debris,66.6,18.9218058,72.8349244,1.7,1.56,0.05,2.65,starboard,39.49,40.72,20.0,high_confidence,1.72,1.0,921.0,48.0,937.0,59.0,2026-08-26 19:11:48
c5335cac,generic_debris,66.6,18.9222325,72.8354129,1.54,1.46,0.05,2.26,starboard,41.44,42.63,20.0,high_confidence,1.83,1.0,941.0,503.0,956.0,513.0,2026-08-26 19:11:48
4055264f,container,66.6,18.9223844,72.8353469,1.54,1.66,0.05,2.56,starboard,24.53,26.51,20.0,high_confidence,1.69,1.0,775.0,553.0,792.0,563.0,2026-08-26 19:11:48
f38ddb14,generic_debris,66.6,18.9222622,72.8355414,1.7,0.88,0.05,1.49,starboard,48.53,49.56,20.0,high_confidence,1.71,1.0,1015.0,586.0,1024.0,597.0,2026-08-26 19:11:48
5e32dce9,generic_debris,66.6,18.9223788,72.8354538,1.7,1.86,0.05,3.15,starboard,32.81,34.33,20.0,high_confidence,1.67,1.0,854.0,602.0,873.0,613.0,2026-08-26 19:11:48
dcfc2f3f,generic_debris,66.5,18.9225679,72.8348555,1.54,1.56,0.05,2.41,port,26.32,28.12,20.0,high_confidence,1.67,1.0,216.0,406.0,232.0,416.0,2026-08-26 19:11:48
ccd5bacc,generic_debris,66.5,18.9218815,72.8350614,1.85,1.56,0.05,2.89,starboard,43.71,44.82,20.0,high_confidence,1.79,2.0,963.0,160.0,979.0,172.0,2026-08-26 19:11:48
70dda2d9,generic_debris,66.5,18.922408,72.8354689,1.54,1.56,0.05,2.41,starboard,31.57,33.11,20.0,high_confidence,1.81,1.0,843.0,625.0,859.0,635.0,2026-08-26 19:11:48
ed32d80a,generic_debris,66.5,18.9226047,72.8357337,1.54,1.76,0.05,2.71,starboard,34.08,35.55,20.0,high_confidence,1.85,1.0,867.0,861.0,885.0,871.0,2026-08-26 19:11:48
d8ba148c,generic_debris,66.5,18.9225792,72.8358355,1.7,1.95,0.07,3.32,starboard,43.29,44.43,20.0,high_confidence,1.66,3.0,957.0,903.0,977.0,914.0,2026-08-26 19:11:48
343a672a,generic_debris,66.5,18.9226919,72.8358855,1.54,1.86,0.08,2.86,starboard,37.39,38.72,20.0,high_confidence,1.64,3.0,899.0,981.0,918.0,991.0,2026-08-26 19:11:48
83a0c58c,generic_debris,66.5,18.9226425,72.8359764,1.54,1.95,0.06,3.01,starboard,47.81,48.83,20.0,high_confidence,1.66,3.0,1002.0,1008.0,1022.0,1018.0,2026-08-26 19:11:48
a7e641e5,generic_debris,66.4,18.9223756,72.834435,1.7,1.66,0.05,2.82,port,41.66,42.82,20.0,high_confidence,1.71,2.0,65.0,106.0,82.0,117.0,2026-08-26 19:11:48
b6aa544f,generic_debris,66.4,18.9224391,72.8346353,1.54,1.86,0.05,2.86,port,32.04,33.54,20.0,high_confidence,1.64,1.0,159.0,230.0,178.0,240.0,2026-08-26 19:11:48
e581347f,generic_debris,66.4,18.9225306,72.8346714,1.54,1.86,0.05,2.86,port,36.81,38.13,20.0,high_confidence,1.74,2.0,112.0,293.0,131.0,303.0,2026-08-26 19:11:48
483b075e,generic_debris,66.4,18.9228008,72.8348092,0.93,1.27,0.05,1.18,port,48.14,49.17,20.0,high_confidence,1.84,2.0,2.0,506.0,15.0,512.0,2026-08-26 19:11:48
8b8f0ea5,pipe_cylinder,66.4,18.9223989,72.8350307,1.39,3.61,9.91,5.02,port,0.0,1.61,20.0,high_confidence,2.11,8.0,477.0,406.0,514.0,415.0,2026-08-26 19:11:48
86469c64,generic_debris,66.4,18.9224052,72.8357024,1.54,1.07,0.05,1.66,starboard,48.43,49.46,20.0,high_confidence,1.56,1.0,1013.0,750.0,1024.0,760.0,2026-08-26 19:11:48
f800195f,generic_debris,66.4,18.9227033,72.8358855,1.7,1.76,0.05,2.98,starboard,36.44,37.79,20.0,high_confidence,1.8,1.0,890.0,987.0,908.0,998.0,2026-08-26 19:11:48
fef4bcc2,container,66.3,18.9222858,72.8343828,1.54,1.76,0.05,2.71,port,38.55,39.84,20.0,high_confidence,1.53,1.0,95.0,38.0,113.0,48.0,2026-08-26 19:11:48
1f0ccc4a,generic_debris,66.3,18.9223553,72.8345859,1.54,1.66,0.13,2.56,port,28.93,30.62,20.0,high_confidence,1.66,4.0,190.0,165.0,207.0,175.0,2026-08-26 19:11:48
1367d4fd,generic_debris,66.3,18.9225528,72.8347147,1.54,1.56,0.05,2.41,port,35.4,36.82,20.0,high_confidence,1.73,1.0,127.0,327.0,143.0,337.0,2026-08-26 19:11:48
06ea1aa4,container,66.3,18.9221156,72.8352593,1.54,1.46,0.05,2.26,starboard,39.33,40.58,20.0,high_confidence,1.58,1.0,920.0,376.0,935.0,386.0,2026-08-26 19:11:48
d6b0a3ad,generic_debris,66.3,18.9219994,72.8351542,1.54,1.76,0.05,2.71,starboard,40.98,42.19,20.0,high_confidence,1.66,2.0,935.0,269.0,953.0,279.0,2026-08-26 19:11:48
e98688b1,generic_debris,66.3,18.9225776,72.8357088,1.7,1.46,0.05,2.49,starboard,34.6,35.99,20.0,high_confidence,1.8,1.0,873.0,835.0,888.0,846.0,2026-08-26 19:11:48
66102e0a,generic_debris,66.3,18.9223131,72.835566,1.54,2.05,0.05,3.17,starboard,46.26,47.31,20.0,high_confidence,1.54,2.0,986.0,626.0,1007.0,636.0,2026-08-26 19:11:48
8c16e4b7,generic_debris,66.3,18.9225447,72.8356882,1.54,1.46,0.05,2.26,starboard,35.88,37.26,20.0,high_confidence,1.64,1.0,886.0,809.0,901.0,819.0,2026-08-26 19:11:48
861ddfe3,generic_debris,66.2,18.9221286,72.8353665,1.7,1.37,0.05,2.32,starboard,46.21,47.27,20.0,high_confidence,1.59,1.0,989.0,431.0,1003.0,442.0,2026-08-26 19:11:48
8702473c,generic_debris,66.2,18.922724,72.8356392,1.54,2.25,0.27,3.47,starboard,17.56,20.17,20.0,high_confidence,1.56,5.0,707.0,872.0,730.0,882.0,2026-08-26 19:11:48
87d30aeb,pipe_cylinder,66.2,18.9225974,72.835244,1.39,2.25,9.91,3.12,starboard,0.0,1.12,20.0,high_confidence,1.58,7.0,512.0,610.0,535.0,619.0,2026-08-26 19:11:48
531d46f6,container,66.2,18.9223145,72.8355591,1.54,1.66,0.05,2.56,starboard,45.65,46.73,20.0,high_confidence,1.5,1.0,982.0,623.0,999.0,633.0,2026-08-26 19:11:48
